zona,centro,puntos
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014651 - CPEIPS Ikasbide HLBHIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014677 - CPEIPS Ntra. Sra. Del Carmen HLBHIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014678 - CPEIPS Ntra. Sra. Del Pilar HLBHIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014685 - CPEIPS Pureza De María HLBHIP,max
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014689 - CPEIPS Sagrado Corazón HLBHIP,max
439901-IT DEUSTU,014653 - CPEI Iparragirre Ikastola HIP,min
439902-IT URIBARRI,014653 - CPEI Iparragirre Ikastola HIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014653 - CPEI Iparragirre Ikastola HIP,min
439905-IT IBAIONDO,014653 - CPEI Iparragirre Ikastola HIP,min
439901-IT DEUSTU,014692 - CPEI San Jose-Urdaneta HIP,min
439902-IT URIBARRI,014692 - CPEI San Jose-Urdaneta HIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014692 - CPEI San Jose-Urdaneta HIP,min
439905-IT IBAIONDO,014692 - CPEI San Jose-Urdaneta HIP,min
439901-IT DEUSTU,015208 - CPEI Umedi HIP,min
439902-IT URIBARRI,015208 - CPEI Umedi HIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,015208 - CPEI Umedi HIP,min
439905-IT IBAIONDO,015208 - CPEI Umedi HIP,min
439901-IT DEUSTU,014618 - CPEIPS Amor Misericordioso HLBHIP,min
439902-IT URIBARRI,014618 - CPEIPS Amor Misericordioso HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014618 - CPEIPS Amor Misericordioso HLBHIP,min
439905-IT IBAIONDO,014618 - CPEIPS Amor Misericordioso HLBHIP,min
439901-IT DEUSTU,014630 - CPEIPS Calasancio HLBHIP,min
439902-IT URIBARRI,014630 - CPEIPS Calasancio HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014630 - CPEIPS Calasancio HLBHIP,min
439905-IT IBAIONDO,014630 - CPEIPS Calasancio HLBHIP,min
439901-IT DEUSTU,014651 - CPEIPS Ikasbide HLBHIP,min
439902-IT URIBARRI,014651 - CPEIPS Ikasbide HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014651 - CPEIPS Ikasbide HLBHIP,min
439905-IT IBAIONDO,014651 - CPEIPS Ikasbide HLBHIP,min
439901-IT DEUSTU,014677 - CPEIPS Ntra. Sra. Del Carmen HLBHIP,min
439902-IT URIBARRI,014677 - CPEIPS Ntra. Sra. Del Carmen HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014677 - CPEIPS Ntra. Sra. Del Carmen HLBHIP,min
439905-IT IBAIONDO,014677 - CPEIPS Ntra. Sra. Del Carmen HLBHIP,min
439901-IT DEUSTU,014678 - CPEIPS Ntra. Sra. Del Pilar HLBHIP,min
439902-IT URIBARRI,014678 - CPEIPS Ntra. Sra. Del Pilar HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014678 - CPEIPS Ntra. Sra. Del Pilar HLBHIP,min
439905-IT IBAIONDO,014678 - CPEIPS Ntra. Sra. Del Pilar HLBHIP,min
439901-IT DEUSTU,014685 - CPEIPS Pureza De María HLBHIP,min
439902-IT URIBARRI,014685 - CPEIPS Pureza De María HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014685 - CPEIPS Pureza De María HLBHIP,min
439905-IT IBAIONDO,014685 - CPEIPS Pureza De María HLBHIP,min
439901-IT DEUSTU,014689 - CPEIPS Sagrado Corazón HLBHIP,min
439902-IT URIBARRI,014689 - CPEIPS Sagrado Corazón HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014689 - CPEIPS Sagrado Corazón HLBHIP,min
439905-IT IBAIONDO,014689 - CPEIPS Sagrado Corazón HLBHIP,min
